keywords,utterance,response
"home check, home visit, home assessment","Do you do home checks?","🏡 Yes — a home assessment is part of our adoption process to ensure a safe environment. We check for secure yards and meet the whole family!"
"center type, public private, non profit, organisation type","Is this a public or private rescue?","Private non-profit. 100% of donations and adoption fees fund our life-saving mission! 🐾"
"website, site, online, web","Do you have a website?","🌐 You're here! Browse available dogs, submit adoption applications, and shop for supplies — all in one place."
"vendors, partners, service providers, marketplace","Who else is on the platform?","We host verified veterinarians, professional dog trainers, and pet groomers across Kenya. Look for the Verified badge on their profiles! ✅"
"verified, trust, scam, legit, safe","How do I know a seller is legit?","All vendors undergo a verification process. Look for the Verified badge on their profiles for peace of mind. 🛡️"
"account, sign up, login, register, create account","How do I create an account?","Click 'Sign Up' to create a profile. You can register as a Buyer or apply to be a Vendor or Service Provider. 🔐"
"search, filter, find dog, browse","How do I find a specific breed?","Use our search filters to sort by breed, age, location, and price to find your perfect match. 🔍"
"reviews, rating, feedback, review vendor","Can I rate a vendor?","Yes! After a successful adoption or service, you can leave a star rating and written review to help the community. ⭐"
"notifications, alerts, new dog, new listing","Do I get alerts for new dogs?","You can enable notifications in your dashboard to be the first to know when a new furry friend is listed! 🔔"
"dev, system, tech, platform, built","Who built this platform?","Paws & Homes is built with modern full-stack technology (React/Vite/Node.js) for a fast, secure, and seamless experience for all pet lovers. 💻"
"not implemented, feature request, add feature, upgrade, new feature, suggestion","Feature request","Noted! I'll flag this for our development team. Thanks for the feedback — every suggestion helps us improve! 🔧
📧 pawsandhomes@gmail.com"
